surveyid,lakeid,min_adults,year_min_adults,max_adults_range,max_adults_estimate,max_adults,year_max_adults,most_recent_adults_range,most_recent_adults_estimate,most_recent_adults,year_most_recent_adults,min_nests,year_min_nests,max_nests_range,max_nests_estimate,max_nests,year_max_nests,most_recent_nests_range,most_recent_nests_estimate,most_recent_nests,year_most_recent_nests,min_chicks,year_min_chicks,max_chicks_range,max_chicks_estimate,max_chicks,year_max_chicks,most_recent_chicks_range,most_recent_chicks_estimate,most_recent_chicks,year_most_recent_chicks,PRODUCTIVITY (# CHICKS/ADULT),western_clarks_both,"IF PREVIOUS COLUMN IS YES, COUNTED TOGETHER, WHAT IS PROPORTION OF CLARK'S to WESTERN? (Third number is Unidentified, if any).","IF NO, NOT COUNTED TOGETHER, WHICH ONE IS IT, CLARK'S or WESTERN?",ADULT (Y/N),BROOD (Y/N),NEST (Y/N),survey_type,survey_time_period,frequency_survey,duration_study,citations,JOURNAL OF WILDLIFE MANAGEMENT CITATION,data_source_type,survey_comment
aech_survey_00873,,986,N/A,501 to 1000,,986,N/A,501 to 1000,,986,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,8/978,N/A,Y,N/A,N/A,,"May 2009, July 2011",N/A,3,"Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.",,Report,"Conducted as part of Western Colonial Waterbird Survey (WCWS), a breeding survey of 18 species from May to July 2009 to 2011, resulting in this Atlas.  State data, presented in Table 6, reflects maximum value across all surveys and years of WCWS for colonies visited more than once.  Nest counts were used to estimate breeding adult counts when possible as direct adult counts may include non-breeders."
aech_survey_00874,,431,2004,101 to 500,,431,2004,101 to 500,,431,2004,20,2004,1 to 100,,59,2000,1 to 100,,20,2004,6,2004,1 to 100,,6,2004,1 to 100,,6,2004,N/A,N,N/A,Western,Y,Y,Y,boat,"1998, 2004",N/A,7,"Beason, J., R. Levad, and T. Leukering. 2005. Monitoring Colorado’s Birds: The 2004 field season report. Rocky Mountain Bird Observatory unpub. report. __ pp.",,Report,"Per authors, active nest count = # nests detected + 0.5*(juveniles detected) (Table 16 and Table 18).  All Western grebe nesting sites in CO known to have been occupied in the last 3 years were censussed, except for Empire Reservoir due to access issues.  22 of 26 historical and potential nesting sites were surveyed and 2 had confirmed breeding in 2004.  Nesting was limited due to low water levels that reduced nesting opportunities.  In the narrative, since the start of surveying in 1998, 27 sites had nesting but most (20) had nesting only once and none for all the years.  These numbers are different from Table 16.  No site had more than 11 nests in a breeding season.  Drought is attributed as a cause to the downward trend."
aech_survey_00875,,9,2004,1 to 100,,9,2004,1 to 100,,9,2004,5,2004,1 to 100,,40,2000,1 to 100,,5,2004,5,2004,1 to 100,,5,2004,1 to 100,,5,2004,N/A,N,N/A,Clark's,Y,Y,Y,boat,"1998, 2004",N/A,7,"Beason, J., R. Levad, and T. Leukering. 2005. Monitoring Colorado’s Birds: The 2004 field season report. Rocky Mountain Bird Observatory unpub. report. __ pp.",,Report,"Per authors, active nest count = # nests detected + 0.5*(juveniles detected) (Table 16 and Table 19).  All Clark's grebe nesting sites in CO known to have been occupied in the last 5 years were censussed, except for Empire Reservoir due to access issues.  29 of 35 historical and potential nesting sites were surveyed and 2 had confirmed breeding in 2004.  Nesting was limited due to low water levels that reduced nesting opportunities.  Since the start of surveying in 1998, 15 sites had nesting but most (10) had nesting only once and none for all the years.  In 2004, nesting was confirmed at only 2 sites.  Table 16 shows 5 Clark's grebe nests counted in 2004 but Table 19 shows 3 nests, I entered 5.  Drought is attributed as a cause to the downward trend."
aech_survey_00876,,279,2003,>1000,,1140,2002,101 to 500,,279,2003,22,2003,1 to 100,,59,2000,1 to 100,,22,2003,9,2003,1 to 100,,9,2003,1 to 100,,9,2003,N/A,N,N/A,Western,Y,Y,Y,boat,"1998, 2003",N/A,6,"Leukering, Tony; Beason, Jason; Levad, Rich. 2004. Monitoring Colorado's birds: the 2003 field season report. In cooperation with Rocky Mountain Bird Observatory",,Report,"Per authors, active nest count = # nests detected + 0.5*(juveniles detected) (Table 14 and Table 19).  All Western grebe nesting sites in CO known to have been occupied in the last 3 years were censussed, except for Empire Reservoir due to access issues.  43 of 60 historical and potential nesting sites were surveyed and 5 had confirmed breeding in 2003.  Nesting was limited due to low water levels that reduced nesting opportunities.  In the narrative, since the start of surveying in 1998, 18 sites had nesting but most (12) had nesting only once and none for all the years.  Adult count in 2003 (mostly non-breeding) was also the lowest since surveys began except for in 1999 when only 20 sites were surveyed."
aech_survey_00877,,90,2002,>1000,,1836,2000,101 to 500,,168,2003,5,2003,1 to 100,,40,2000,1 to 100,,5,2003,7,2003,1 to 100,,7,2003,1 to 100,,7,2003,N/A,N,N/A,Clark's,Y,Y,Y,boat,"1998, 2003",N/A,6,"Leukering, Tony; Beason, Jason; Levad, Rich. 2004. Monitoring Colorado's birds: the 2003 field season report. In cooperation with Rocky Mountain Bird Observatory",,Report,"Per authors, active nest count = # nests detected + 0.5*(juveniles detected) (Table 14 and Table 20).  The Clark's grebe adults counted in 2003 are mostly non-breeding at Arkansas Valley reservoirs.  Lower numbers for 2003 are due to the lack of surveying at other reservoirs in CO.   Nesting sites in CO known to have been occupied in the last 3 years were censussed, except for Empire Reservoir due to access issues.  21 of 35 historical and potential Clark's grebe nesting sites were surveyed and 2 had confirmed breeding in 2003.  1999 survey data was omitted due to incomplete counts.  In 2002 and 2003, most of the large reservoirs of Arkansas Valley were not surveyed though they harbor a large proportion of non-breeding Clark's grebes.  Nesting was limited due to low water levels that reduced nesting opportunities.  "
aech_survey_00878,,1018,2000,>1000,,1018,2000,>1000,,1018,2000,57,2000,1 to 100,,57,2000,1 to 100,,57,2000,30,2000,1 to 100,,30,2000,1 to 100,,30,2000,N/A,N,N/A,Western,Y,Y,Y,boat,2000,N/A,1,"Leukering, T., D. Faulkner, R. Levad, and A. Panjabi. 2001b. Monitoring Colorado’s Birds: The Year
2000 Final Report. Rocky Mountain Bird Observatory unpubl report. 38 pp.",,Report,"In 2000, 41 sites were surveyed, including all except for one from Giroir's and Leukering's 1998 study.  Counts for 2000 were similar to 1998 numbers.  No specific lakes mentioned."
aech_survey_00879,,1836,2000,>1000,,1836,2000,>1000,,1836,2000,0,2000,,,0,2000,,,0,2000,79,2000,1 to 100,,79,2000,1 to 100,,79,2000,N/A,N,N/A,Clark's,Y,Y,Y,boat,2000,N/A,1,"Leukering, T., D. Faulkner, R. Levad, and A. Panjabi. 2001b. Monitoring Colorado’s Birds: The Year
2000 Final Report. Rocky Mountain Bird Observatory unpubl report. 38 pp.",,Report,"In 2000, 28 sites were surveyed, including all except for one from Giroir's and Leukering's 1998 study.  Counts for 2000 were similar to 1998 numbers.  No specific lakes mentioned."
aech_survey_00880,,666,2001,501 to 1000,,666,2001,501 to 1000,,666,2001,28,2001,1 to 100,,28,2001,1 to 100,,28,2001,28,2001,1 to 100,,28,2001,1 to 100,,28,2001,N/A,N,N/A,Western,Y,Y,Y,shore; boat,2001,N/A,1,"Leukering, T., D. Faulkner, R. Levad, C.L. Wood, and J. Beason. 2002. Monitoring Colorado’s Birds: The 2001 field season. Rocky Mountain Bird Observatory unpubl report. 27 pp.",,Report,"Table 2 - Results of the MCB survey of 448 water bodies in 46 counties, summer 2001 and Table 3 - Summary of MCB special monitoring projects, summer 2001 state different sets of numbers for sites surveyed, adults, and juveniles.  I entered Table 3 which was summarized in the Discussion although additional numbers of non-breeding adults are mentioned as part of an extensive lake survey (313 non-breeding Western grebes at 42 sites and 207 Aechmophorus sp. at 9 sites).  Those extra numbers do not appear in either tables so I did not enter them.  May request specific lake numbers from Ken Giesen of Colorado Division of Wildlife for more detail.  53 of 61 historical and potential Western grebe nesting sites in Colorado were surveyed.  Lakes that were not visited were of low priority with small numbers of nests on record and no recent nesting.  Six sites had confirmed breeding which was one less than in 2000.  The 666 adults counted were mostly non-breeding and was 300 lower than in 2000.  No specific lakes mentioned."
aech_survey_00881,,1546,2001,>1000,,1546,2001,>1000,,1546,2001,0,2001,,,0,2001,,,0,2001,23,2001,1 to 100,,23,2001,1 to 100,,23,2001,N/A,N,N/A,Clark's,Y,Y,Y,shore; boat,2001,N/A,1,"Leukering, T., D. Faulkner, R. Levad, C.L. Wood, and J. Beason. 2002. Monitoring Colorado’s Birds: The 2001 field season. Rocky Mountain Bird Observatory unpubl report. 27 pp.",,Report,"Table 2 - Results of the MCB survey of 448 water bodies in 46 counties, summer 2001 and Table 3 - Summary of MCB special monitoring projects, summer 2001, state different sets of numbers for sites surveyed, adults, and juveniles.  I entered Table 3 which was summarized in the Discussion although additional numbers of non-breeding adults are mentioned as part of an extensive lake survey (164 non-breeding Clark's grebes at 31 sites and 207 Aechmophorus sp. at 9 sites, this latter part mentioned in the Western grebe entry for this survey).  Those extra numbers do not appear in either tables so I did not enter them.  May request specific lake numbers from Ken Giesen of Colorado Division of Wildlife for more detail.  35 of 40 historical and potential Clark's grebe nesting sites in Colorado were surveyed.  Lakes that were not visited were of low priority with small numbers of nests on record and no recent nesting.  Six sites had confirmed breeding which was one less than in 2000.  The 666 adults counted were mostly non-breeding and was 300 lower than in 2000.  No specific lakes mentioned."
aech_survey_00882,,1140,2002,>1000,,1140,2002,>1000,,1140,2002,42,2002,1 to 100,,42,2002,1 to 100,,42,2002,1,2002,1 to 100,,1,2002,1 to 100,,1,2002,N/A,N,N/A,Western,Y,Y,Y,shore; boat,2002,N/A,1,"Leukering, T., and R. Levad. 2003. Monitoring Colorado’s Birds: The 2002 Field Season Report. Rocky Mountain Bird Observatory unpubl report. 32 pp.",,Report,"Table 2 - Results of MCB colonial waterbird counts, summer 2002 and Table 4 - Results of the MCB survey of water bodies, summer 2002, state different sets of numbers for sites surveyed, adults, and juveniles.  I entered Table 2 which was summarized in the Discussion.  I did not include Table 5 of the early-winter waterbird count.  May request specific lake numbers from Ken Giesen of Colorado Division of Wildlife for more detail.  44 of 59 historical and potential Western grebe nesting sites in Colorado were surveyed.  Lakes that were not visited were of low priority with small numbers of nests on record and no recent nesting.  Three sites had confirmed breeding due to low water levels.  The 1140 adults counted were mostly non-breeding and was about 400 more than in 2001.  No specific lakes mentioned."
aech_survey_00883,,90,2002,1 to 100,,90,2002,1 to 100,,90,2002,0,2002,,,0,2002,,,0,2002,11,2002,1 to 100,,11,2002,1 to 100,,11,2002,N/A,N,N/A,Clark's,Y,Y,Y,shore; boat,2002,N/A,1,"Leukering, T., and R. Levad. 2003. Monitoring Colorado’s Birds: The 2002 Field Season Report. Rocky Mountain Bird Observatory unpubl report. 32 pp.",,Report,"Table 2 - Results of MCB colonial waterbird counts, summer 2002 and Table 4 - Results of the MCB survey of water bodies, summer 2002, state different sets of numbers for sites surveyed, adults, and juveniles.  I entered Table 2 which was summarized in the Discussion.  I did not include Table 5 of the early-winter waterbird count.  May request specific lake numbers from Ken Giesen of Colorado Division of Wildlife for more detail.  24 of 36 historical and potential Clark's grebe nesting sites in Colorado were surveyed.  Lakes that were not visited were of low priority with small numbers of nests on record and no recent nesting.  The 90adults counted were mostly non-breeding and at 10 sites.  The 11 juveniles were at three sites.  Arkansas River Valley sites that had many non-breeding adults were not surveyed.  An additional 106 non-breeding Clark's grebe adults at 18 sites were counted on an extensive lakes survey.  I did not include these and they were not stated in any other tables of this report.  No specific lakes mentioned in the narrative."
aech_survey_00884,,300,?,101 to 500,,300,?,101 to 500,,300,?,150,?,101 to 500,,150,?,101 to 500,,150,?,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,150/300,N/A,Y,N/A,Y,,N/A,N/A,N/A,"Ivey, G.L., and C.P. Herziger. 2006. Intermountain West Waterbird Conservation Plan, Version 1.2. A plan associated with the Waterbird Conservation for the Americas Initiative. Published by U.S. Fish and Wildlife Service Pacific Region, Portland, Oregon.",,Conservation Plan,"Appendix D, Table D-5, estimated average number of nests X2 gives the area population estimate.  Source is R. Levad pers. comm.  No other info nor year provided. "
aech_survey_00885,aech_00280,19,1993,1 to 100,,19,1993,1 to 100,,19,1993,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,4 July 1993,1,1,"Also in historical data of Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado. ","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,Source (Trost) is this study. Cavitt states that pairs were counted to estimate # of breeding birds.
aech_survey_00886,aech_00280,2,1993,1 to 100,,8,1993,1 to 100,,8,1993,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Clark's,Y,N/A,N/A,shore,"19 June 1993, 2 July 1993",2,1,"Just July 2, 1993 survey is in historical data of Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado. ","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,"Source (Trost) is this study. Cavitt states that pairs were counted to estimate # of breeding birds (for at least July 2, 1993 survey)."
aech_survey_00887,aech_00280,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,Y,,N/A,N/A,1,"Peterson, L. A. 1977. Colonial waterbirds in Idaho. Special Report to Idaho Department of Fish and Game. 38 pp.",,Report,"Peterson reports that Larrison et al. states that Western grebes breed here, no years provided. No reservoir named Soda Springs Reservoir but Alexander Reservoir was called Soda Point Reservoir and is impounded by the Soda Dam, also known as the Alexander Dam.  Assuming this is Alexander Reservoir."
aech_survey_00888,aech_00281,78,1984,1 to 100,,78,1984,1 to 100,,78,1984,75,1984,1 to 100,,100,1984,1 to 100,,100,1984,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,27 June 1984,1,1,,"Trost, C. H. n.d. Status and distribution of colonial nesting waterbirds in Idaho, 1985. 110.",Report,Source is this study. This is one of 4 colonies observed by Peterson (1977) cited in this report.
aech_survey_00889,aech_00281,7,1993,101 to 500,,121,1993,101 to 500,,121,1993,7,1993,101 to 500,,125,1993,1 to 100,,10,1993,>23,1993,1 to 100,,>23,1993,1 to 100,,>23,1993,N/A,N,N/A,Western,Y,N/A,Y,shore,"8 June 1993, 12 August 1993",9,1,"The July 1 survey included in historical data of Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,"Source (Trost) is this study.  Combined two separate areas of this reservoir into this line.  Number chicks not specified but many to several observed so I included as greater than # adults counted with at least one chick. Cavitt estimates the # breeding birds for July 2 survey as 75 nests times 2 = 150 estimated # of breeding birds and actual bird count as 94, though Trost states it as 90.  I kept it as 90 according to Trost. The July 1, 1993 American Falls Reservoir (Rainbow Beach/Seagull Bay) survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 35 and estimated # of breeding birds at 70 (conversion factor of nests by 2).  Also, the July 1, 1993 American Falls Reservoir (Snake River) survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 100 and estimated # of breeding birds at 200 (conversion factor of nests by 2). As well, the July 25, 1993 American Falls Reservoir (near silo at dam) survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 9 and estimated # of breeding birds at 18 (conversion factor of nests by 2). These various areas of American Falls are combined in this entry for Trost."
aech_survey_00890,aech_00281,1,1993,1 to 100,,6,1993,1 to 100,,4,1993,10,1993,1 to 100,,20,1993,1 to 100,,10,1993,3,1993,1 to 100,,3,1993,1 to 100,,3,1993,N/A,N,N/A,Clark's,Y,Y,Y,shore,"8 June 1993, 12 August 1993",6,1,"The June 8, July 1, and July 2 surveys are included in the historical data from Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,"Source is this study. The survey dates with Clark's observed (June 8, June 17, July 1, July 19) are proportioned (12.5%, 6%, 7%, 3% respectively) out of the total with Western's.  August 19 doesn't have a proportion but should be 3/74 = 4%. Included the Seagull Bay survey on July 1 which is another part of American Falls Reservoir, proportion Clark's is 7% or 2 out of 28 which is not a match for total on the Western's table.  3 chicks out of all of American Falls Reservoir. Cavitt historical data converts the 10 nests counted on June 8 by a factor of 2 for 20 additional breeding birds.  I didn't include that.  Also, states July 2 as 7 breeding birds instead of 6 as stated in Trost.  I left it as 6 (from Trost). Cavitt also states unknown survey type and estimate, not direct count, for this survey.  I'm assuming ground survey. The June 8, 1993 American Falls Reservoir (McTucker are) survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 15 and estimated # of breeding birds at 30 (conversion factor of nests by 2). Also, the July 1, 1993 American Falls Reservoir (Rainbow Beach/Seagull Bay) survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 2 and estimated # of breeding birds at 4 (conversion factor of nests by 2)."
aech_survey_00891,aech_00281,80,2010,1 to 100,,80,2010,1 to 100,,80,2010,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,1 July 2010,1,1,"Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.",,Summary,"Big Hole Cove.  Listed these entries seperately because of different ways of counting. Pairs used to generate estimated # of breeding birds. Direct count. Conducted as part of Western Colonial Waterbird Survey (WCWS), a breeding survey of 18 species from May to July 2009 to 2011, resulting in this Atlas."
aech_survey_00892,aech_00281,1,2010,1 to 100,,1,2010,1 to 100,,1,2010,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Clark's,Y,N/A,N/A,shore,1 July 2010,1,1,"Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.",,Summary,"Big Hole Cove. Direct count of individual breeding birds.  Conducted as part of Western Colonial Waterbird Survey (WCWS), a breeding survey of 18 species from May to July 2009 to 2011, resulting in this Atlas."
aech_survey_00893,aech_00281,150,2010,101 to 500,,150,2010,101 to 500,,150,2010,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,1 July 2010,1,1,"Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.",,Summary,"Dam. Estimate, not direct count, of individual breeding birds.  Conducted as part of Western Colonial Waterbird Survey (WCWS), a breeding survey of 18 species from May to July 2009 to 2011, resulting in this Atlas."
aech_survey_00894,aech_00281,18,2010,1 to 100,,18,2010,1 to 100,,18,2010,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,22 July 2010,1,1,"Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.",,Summary,"Seagull Bay. Direct count of nonbreeding birds.  Conducted as part of Western Colonial Waterbird Survey (WCWS), a breeding survey of 18 species from May to July 2009 to 2011, resulting in this Atlas."
aech_survey_00895,aech_00281,N/A,N/A,,,N/A,N/A,,,N/A,N/A,see comments,see comments,,,see comments,see comments,,,see comments,see comments,see comments,see comments,,,see comments,see comments,,,see comments,see comments,N/A,N/A,N/A,N/A,N/A,see comments,see comments,,N/A,N/A,N/A,"Moulton, C. pers. comm. 2021 email.",,Personal communication,"This entry to capture Colleen Moulton's (IDFG) comments on which breeding lakes might still be active.  ""Here’s a list of those that I know have had breeding birds in recent years: American Falls Reservoir, Blackfoot Reservoir, Cave Lake, CJ Strike Reservoir, Island Park Reservoir, Lake Pend Oreille, Market Lake WMA, Mud Lake WMA. These are all fairly small colonies (although Mud Lake used to be sizeable). There may be others, but I’m less familiar with/have less documentation of them."""
aech_survey_00896,aech_00282,100,?,1 to 100,,100,?,1 to 100,,100,?,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,Y,,N/A,N/A,N/A,"Peterson, L. A. 1977. Colonial waterbirds in Idaho. Special Report to Idaho Department of Fish and Game. 38 pp.",,Report,Peterson summarizes historic Western grebe nesting colonies in Idaho.  No numbers nor years for this record but states that colony or colonies are at shoreline of bays.
aech_survey_00897,aech_00283,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,Y,,N/A,N/A,1,"Peterson, L. A. 1977. Colonial waterbirds in Idaho. Special Report to Idaho Department of Fish and Game. 38 pp.",,Report,"Peterson reports that Larrison et al. states that Western grebes breed here, no years provided."
aech_survey_00898,aech_00284,43,1984,1 to 100,,43,1984,1 to 100,,43,1984,40,1984,1 to 100,,50,1984,1 to 100,,50,1984,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,20 June 1984,1,1,,"Trost, C. H. 1985. Status and distribution of colonial nesting waterbirds in Idaho, 1985. 110.",Report,"Source is G. Deutscher. 2.2 eggs/nest, N = 35. This is one of 4 colonies observed by Peterson (1977) cited in this report."
aech_survey_00899,aech_00284,1,1993,1 to 100,,60,1993,1 to 100,,48,1993,25,1993,1 to 100,,30,1993,1 to 100,,30,1993,20,1993,1 to 100,,20,1993,1 to 100,,20,1993,N/A,N,N/A,Western,Y,Y,Y,shore; boat,"19 June 1993, 10 July 1993",3,1,"These surveys included as historical data in Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,"Source (Trost) is this study for June 19 and July 10, 1993 surveys.  Source (Trost) is R. Sjostrom for July 8, 1993.  July 10 survey by canoe. For July 8 survey, estimated 20 young.  Cavitt doubles the 25 nests from July 8 to estimate 50 breeding birds even though Trost has count at 60 (by Sjostrom). I included the 60 from Trost. The July 8, 1993 survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 28 and estimated # of breeding birds at 56 (conversion factor of nests by 2)."
aech_survey_00900,aech_00284,3,1993,1 to 100,,3,1993,1 to 100,,3,1993,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Clark's,Y,N/A,N/A,shore,10 July 1993,1,1,,"Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,Source is this study. Two sites of Bear Lake NWR combined because both surveyed same day for Clark's (July 10). The same day survey for Western doesn't have matching total number for which Clark's are proportioned out (3%) so I used the count # for Clark's in its own entry.
aech_survey_00901,aech_00284,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,presence,?,1 to 100,,presence,?,1 to 100,,presence,?,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,N/A,N/A,N/A,"Peterson, L. A. 1977. Colonial waterbirds in Idaho. Special Report to Idaho Department of Fish and Game. 38 pp.",,Report,Peterson summarizes historic Western grebe nesting colonies in Idaho.  No numbers nor years for this record but states that colony or colonies are in south end of marshy lake.
aech_survey_00902,aech_00285,30,1984,1 to 100,,30,1984,1 to 100,,30,1984,20,1984,1 to 100,,30,1984,1 to 100,,30,1984,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,N/A,shore,19 June 1984,1,1,,"Trost, C. H. n.d. Status and distribution of colonial nesting waterbirds in Idaho, 1985. 110.",Report,"Source is this study.  This report's method was to send questionnaires to all refuge managers in Idaho and Trost's visit to all known colonies in May and June of 1984, counting nests from ground. Low # of range is total #s of nests seen. Higher # is either total birds or nests seen. Western Grebes were counted on open water from ground.  During incubation period, total # of birds seen on water assumes that one is on a nest, thus # of birds seen equals # of nests. After chicks hatched, both adults assumed to be in colony, thus divide in half # of adult birds seen for another nest estimate."
aech_survey_00903,aech_00285,17,1993,1 to 100,,100,1993,1 to 100,,17,1993,25,1993,1 to 100,,30,1993,1 to 100,,30,1993,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,Y,shore,"9 June 1993, 4 July 1993",2,1,"June 9 survey included as historical data in Cavitt, J. F., S. L. Jones, N. M. Wilson, J. S Dieni, T. S. Zimmerman, R. H. Doster, and W. H. Howe. 2014. Atlas of breeding colonial waterbirds in the interior western United States. Research Report, U.S. Department of the Interior, Fish and Wildlife Service, Denver, Colorado.","Trost, C. H., A. Gerstell. 1994. Status and distribution of colonial nesting waterbirds in southern Idaho, 1993. 110.",Report,"Source (Trost) is L. Hiavaty for June 9, 1993 survey.  Source (Trost) is this study for July 4, 1993 survey. Methods same as Trost 1984 study. Cavitt states survey is estimate, not direct count of breeding birds.  The June 9, 1993 survey is also included in G. Ivey's ID Waterbird Atlas spreadsheet for his work with Region 1 - Non Game.  In Ivey's spreadsheet, the median number for range of nests is reported as 28 and estimated # of breeding birds at 56 (conversion factor of nests by 2)."
