surveyid,lakeid,min_adults,year_min_adults,max_adults_range,max_adults_estimate,max_adults,year_max_adults,most_recent_adults_range,most_recent_adults_estimate,most_recent_adults,year_most_recent_adults,min_nests,year_min_nests,max_nests_range,max_nests_estimate,max_nests,year_max_nests,most_recent_nests_range,most_recent_nests_estimate,most_recent_nests,year_most_recent_nests,min_chicks,year_min_chicks,max_chicks_range,max_chicks_estimate,max_chicks,year_max_chicks,most_recent_chicks_range,most_recent_chicks_estimate,most_recent_chicks,year_most_recent_chicks,PRODUCTIVITY (# CHICKS/ADULT),western_clarks_both,"IF PREVIOUS COLUMN IS YES, COUNTED TOGETHER, WHAT IS PROPORTION OF CLARK'S to WESTERN? (Third number is Unidentified, if any).","IF NO, NOT COUNTED TOGETHER, WHICH ONE IS IT, CLARK'S or WESTERN?",ADULT (Y/N),BROOD (Y/N),NEST (Y/N),survey_type,survey_time_period,frequency_survey,duration_study,citations,JOURNAL OF WILDLIFE MANAGEMENT CITATION,data_source_type,survey_comment
aech_survey_00021,aech_00108,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
aech_survey_00022,aech_00108,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted breeding here but no year indicated and no other details.
aech_survey_00023,aech_00109,presence,1980s,1 to 100,,presence,2006 or prior,1 to 100,,presence,1980s,presence,1980s,1 to 100,,presence,1980s,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,1980s,N/A,?,"Jenness, D. 2020.  Extreme water level fluctuations limit breeding of western and Clark's grebes at San Carlos Lake, Arizona. Arizona Birds - Journal of Arizona Field Ornithologists. Volume 2020.",,Journal article,Not a survey but a statement that Western grebe nested at many lakes on Navajo tribal lands of Apache County in the 1980s but does not name them (Wise-Gervais 2005).
aech_survey_00024,aech_00098,presence,"1989, 1991",1 to 100,,presence,2006 or prior,1 to 100,,presence,1991,presence,"1989, 1991",1 to 100,,presence,"1989, 1991",1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,"1989, 1991",N/A,2,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,"Historical record of nesting in 1989 and 1991 (C. LaRue, pers. comm)."
aech_survey_00025,aech_00105,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
aech_survey_00026,aech_00106,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,"Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted Western grebe nesting here but no year indicated and no other details.  For Clark's grebe, nesting here started in 1988."
aech_survey_00027,aech_00111,presence,1985,1 to 100,,presence,2006 or prior,1 to 100,,presence,1985,presence,1985,1 to 100,,presence,1985,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,1985,N/A,1,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Historical record of nesting in 1985 (Jacobs 1986).
aech_survey_00028,aech_00110,presence,?,1 to 100,,presence,2006 or prior,1 to 100,,presence,?,presence,?,1 to 100,,presence,?,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,N/A,N/A,N/A,"Jenness, D. 2020.  Extreme water level fluctuations limit breeding of western and Clark's grebes at San Carlos Lake, Arizona. Arizona Birds - Journal of Arizona Field Ornithologists. Volume 2020.",,Journal article,"Not a survey but a statement that Western grebe nested irregularly at Painted Rock Reservoir historically but does not state which years (Monson and Phillips 1981, Rosenbert et al. 1991)."
aech_survey_00029,aech_00110,presence,1993,1 to 100,,presence,1993,1 to 100,,presence,1993,presence,1993,1 to 100,,presence,1993,1 to 100,,presence,1993,presence,1993,1 to 100,,presence,1993,1 to 100,,presence,1993,N/A,N,N/A,Western,N/A,Y,N/A,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,"Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted adults with chicks on 28 August (no year stated), possibly 1993.  ""Irregular"" nesting here (Monson and Phillips 1981, Rosenberg et. al 1991)."
aech_survey_00030,aech_00112,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,2019,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,2019,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,"2008, 2009, 2011, 2016, 2017, 2019",1 to 100,,presence,2019,N/A,Y,N/A,N/A,N/A,Y,Y,,"2008, 2019",N/A,N/A,"Jenness, D. 2020.  Extreme water level fluctuations limit breeding of western and Clark's grebes at San Carlos Lake, Arizona. Arizona Birds - Journal of Arizona Field Ornithologists. Volume 2020.",,Journal article,"Not a survey but a statement that Western and Clark's grebes were first confirmed nesting at Roosevelt Lake at 2008 (Jenness unpubl. data, Corman 2008).  Breeding was also confirmed in 2009, 2011, 2016, 2017, and 2019 (eBird 2019).  Water level fluctuations are not as drastic as at San Carlos Lake.  There was also a brood observed in January 2011 (Corman and Burger 2011), evidence of an early nesting period that may span the whole year.  This long breeding period was noted in other parts of the state and at Lake Mead by Parmelee and Parmelee (1997) in response to favorable conditions year-round and water level fluctuation.  Roosevelt Lake and San Carlos Lake are the two largest reservoirs of AZ."
aech_survey_00031,aech_00112,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
aech_survey_00032,aech_00115,7,2018,501 to 1000,,<=600,2006 or prior,501 to 1000,,<=600,2019,20,2015,1 to 100,,100,2015,1 to 100,,100,2006 or prior,3,2017,1 to 100,,12,2015,1 to 100,,3,2017,N/A,Y,varies but in 2019 ~75% were Western,N/A,Y,Y,Y,shore,"2003, 2019",9 annually but varies,17,"Jenness, D. 2020.  Extreme water level fluctuations limit breeding of western and Clark's grebes at San Carlos Lake, Arizona. Arizona Birds - Journal of Arizona Field Ornithologists. Volume 2020.",,Journal article,"More than 150 visits have been made to this lake by surveyers but evidence of nesting (observed nests and/or chicks) were found only in 2005, 2015, and 2017.  Water level is a major issue, according to the author, and these three years were considered to have somewhat stable water levels for at least 3 months from March to May.  The ""up to 600"" grebes that can be found in summer months is cited to eBird 2019 but is uncertain how many of those breed."
aech_survey_00033,aech_00115,presence,2005,,,N/A,2006 or prior,1 to 100,,presence,2015,100,2015,1 to 100,,100,2015,1 to 100,,100,2006 or prior,presence,2005,,,N/A,N/A,1 to 100,,presence,2015,N/A,Y,N/A,N/A,N/A,Y,Y,,"2005, 2015",N/A,N/A,"Jenness, D. Unknown year. Birding Arizona: Birding San Carlos Lake. AZFO. azfo.org/birding/locations.html",,Factsheet,"Estimate, at least 10 nests were Clark's.  First report of Western and Clark's grebe broods in 2005."
aech_survey_00034,aech_00115,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
